file_path,company_code,date,period,content_length,sentiment_score,sentiment_interpretation,model_used
attachments/13010/2024-08-05_13010_2025年3月期　第1四半期決算短信[日本基準](連結)_attachments.md,13010,2024-08-05,2025年3月期　第1四半期決算短信[日本基準](連結),5648,5.0,分析エラー,tabularisai/multilingual-sentiment-analysis
attachments/13010/2024-05-10_13010_（訂正・数値データ訂正）「2024年3月期 決算短信〔日本基準〕（連結）」の一部訂正について_attachments.md,13010,2024-05-10,（訂正・数値データ訂正）「2024年3月期 決算短信〔日本基準〕（連結）」の一部訂正について,12452,5.0,分析エラー,tabularisai/multilingual-sentiment-analysis
attachments/13010/2024-11-06_13010_2025年３月期第２四半期（中間期）決算短信〔日本基準〕(連結)_attachments.md,13010,2024-11-06,2025年３月期第２四半期（中間期）決算短信〔日本基準〕(連結),6036,5.0,分析エラー,tabularisai/multilingual-sentiment-analysis
attachments/13010/2024-05-10_13010_2024年3月期　決算短信[日本基準](連結)_attachments.md,13010,2024-05-10,2024年3月期　決算短信[日本基準](連結),12429,5.0,分析エラー,tabularisai/multilingual-sentiment-analysis
attachments/13010/2023-02-03_13010_2023年3月期　第3四半期決算短信[日本基準](連結)_attachments.md,13010,2023-02-03,2023年3月期　第3四半期決算短信[日本基準](連結),4327,5.0,分析エラー,tabularisai/multilingual-sentiment-analysis
attachments/13010/2023-08-04_13010_2024年3月期　第1四半期決算短信[日本基準](連結)_attachments.md,13010,2023-08-04,2024年3月期　第1四半期決算短信[日本基準](連結),4177,5.0,分析エラー,tabularisai/multilingual-sentiment-analysis
attachments/13010/2023-11-06_13010_2024年3月期　第2四半期決算短信[日本基準](連結)_attachments.md,13010,2023-11-06,2024年3月期　第2四半期決算短信[日本基準](連結),5738,5.0,分析エラー,tabularisai/multilingual-sentiment-analysis
attachments/13010/2025-08-04_13010_2026年3月期　第1四半期決算短信[日本基準](連結)_attachments.md,13010,2025-08-04,2026年3月期　第1四半期決算短信[日本基準](連結),6062,5.0,分析エラー,tabularisai/multilingual-sentiment-analysis
attachments/13010/2025-02-03_13010_2025年3月期　第3四半期決算短信[日本基準](連結)_attachments.md,13010,2025-02-03,2025年3月期　第3四半期決算短信[日本基準](連結),5073,5.0,分析エラー,tabularisai/multilingual-sentiment-analysis
attachments/13010/2025-05-12_13010_2025年3月期　決算短信[日本基準](連結)_attachments.md,13010,2025-05-12,2025年3月期　決算短信[日本基準](連結),15314,5.0,分析エラー,tabularisai/multilingual-sentiment-analysis
attachments/13010/2024-02-02_13010_2024年3月期　第3四半期決算短信[日本基準](連結)_attachments.md,13010,2024-02-02,2024年3月期　第3四半期決算短信[日本基準](連結),4555,5.0,分析エラー,tabularisai/multilingual-sentiment-analysis
attachments/13010/2023-05-12_13010_2023年3月期　決算短信[日本基準](連結)_attachments.md,13010,2023-05-12,2023年3月期　決算短信[日本基準](連結),11743,5.0,分析エラー,tabularisai/multilingual-sentiment-analysis
